sppnum,gen,spec,genus,species,family,growthform,lifeform,origin,photo
155,agalin,asper,agalinis,aspera,orobanchaceae,a,f,n,c3
156,acalyp,virgi,acalypha,virginica,euphorbiaceae,a,f,n,c3
157,myosot,verna,myosotis,verna,boraginaceae,a,f,n,c3
158,ulmus,ameri,ulmus,americana,cannabaceae,p,w,n,c3
159,pariet,pensy,parietaria,pensylvanica,urticaceae,a,f,n,c3
160,ambros,trifi,ambrosia,trifida,asteraceae,a,f,n,c3
161,asclep,syria,asclepias,syriaca,asclepiadaceae,p,f,n,c3
162,taraxa,offic,taraxacum,officinale,asteraceae,p,f,i,c3
163,medica,lupul,medicago,lupulina,fabaceae,a,f,i,c3
164,cornus,drumm,cornus,drummondii,cornaceae,p,w,n,c3
165,cyperu,spp.,cyperus,spp.,cyperaceae,p,s,n,.
166,chenop,album,chenopodium,album,amaranthaceae,a,f,i,c3
167,dichan,linea,dichanthelium,linearifolium,poaceae,p,g,n,c3
168,digita,cogna,digitaria,cognata,poaceae,p,g,n,c4
169,capsel,bursa,capsella,bursa-pastoris,brassicaceae,a,f,i,c3
170,stroph,leios,strophostyles,leiosperma,fabaceae,a,f,n,c3
172,euphor,corol,euphorbia,corollata,euphorbiaceae,p,f,n,c3
173,symphy,spp.,aster,spp.,asteraceae,p,f,n,c3
174,oenoth,curti,oenothera,curtiflora,onagraceae,a,f,n,c3
175,toxico,nutta,toxicoscordion,nuttallii,melanthiaceae,p,m,n,c3
176,Lithos,occid,lithospermum,occidentale,boraginaceae,p,f,n,c3
177,rumex,crisp,rumex,crispus,polygonaceae,p,f,i,c3
178,bromus,inerm,bromus,inermis,poaceae,p,g,i,c3
179,prunel,vulga,prunella,vulgaris,lamiaceae,p,f,n,c3
180,teucri,canad,teucrium,canadense,lamiaceae,p,f,n,c3
181,equise,laevi,equisetum,laevigatum,equisetaceae,p,o,n,c3
182,lotus,corni,lotus,corniculatus,fabaceae,p,f,i,c3
183,grinde,squar,grindelia,squarrosa,asteraceae,b,f,n,c3
184,rumex,altis,rumex,altissimus,polygonaceae,p,f,n,c3
185,calyst,macou,calystegia,macounii,convolvulaceae,p,f,n,c3
186,melilo,offic,melilotus,officinalis,fabaceae,b,f,i,c3
187,verbas,blatt,verbascum,blattaria,scrophulariaceae,b,f,i,c3
189,tripsa,dacty,tripsacum,dactyloides,poaceae,p,g,n,c4
190,setari,pumil,setaria,pumila,poaceae,a,g,i,c4
191,lycopu,ameri,lycopus,americanus,lamiaceae,p,f,n,c3
192,cynanc,laeve,cynanchum,laeve,asclepiadaceae,p,f,n,c3
193,euphor,denta,euphorbia,dentata,euphorbiaceae,a,f,n,c3
194,physal,heter,physalis,heterophylla,solanaceae,p,f,n,c3
195,digita,sangu,digitaria,sanguinalis,poaceae,a,g,i,c4
196,heliop,helia,heliopsis,helianthoides,asteraceae,p,f,n,c3
197,carduu,nutan,carduus,nutans,asteraceae,b,f,i,c3
198,nepeta,catar,nepeta,cataria,lamiaceae,p,f,i,c3
199,gledit,triac,gleditsia,triacanthos,fabaceae,p,w,n,c3
200,celtis,occid,celtis,occidentalis,cannabaceae,p,w,n,c3
201,silphi,integ,silphium,integrifolium,asteraceae,p,f,n,c3
202,mirabi,nycta,mirabilis,nyctaginea,nyctaginaceae,p,f,n,c3
203,cyperu,odora,cyperus,odoratus,cyperaceae,a,s,n,c4
204,acalyp,ostry,acalypha,ostryifolia,euphorbiaceae,a,f,n,c3
205,polygo,ramos,polygonum,ramosissimum,polygonaceae,a,f,n,c3
206,viola,nephr,viola,nephrophylla,violaceae,p,f,n,c3
208,solanu,rostr,solanum,rostratum,solanaceae,a,f,n,c3
209,setari,virid,setaria,viridis,poaceae,a,g,i,c4
210,carex,spp.,carex,spp.,cyperaceae,p,s,n,c3
211,ambros,artem,ambrosia,artemisiifolia,asteraceae,a,f,n,c3
212,amaran,tuber,amaranthus,tuberculatus,amaranthaceae,a,f,n,c4
213,amaran,retro,amaranthus,retroflexus,amaranthaceae,a,f,i,c4
214,cucurb,foeti,cucurbita,foetidissima,cucurbitaceae,p,f,n,c3
215,amaran,blito,amaranthus,blitoides,amaranthaceae,a,f,n,c4
216,euphor,serpe,euphorbia,serpens,euphorbiaceae,a,f,n,c4
217,helian,annuu,helianthus,annuus,asteraceae,a,f,n,c3
218,triden,flavu,tridens,flavus,poaceae,p,g,n,c4
219,parthe,quinq,parthenocissus,quinquefolia,vitaceae,p,w,n,c3
220,fallop,scand,fallopia,scandens,polygonaceae,p,f,i,c3
221,sporob,vagin,sporobolus,vaginiflorus,poaceae,a,g,n,c4
222,rosa,bland,rosa,blanda,rosaceae,p,w,n,c3
223,stenar,nigri,stenaria,nigricans,rubiaceae,p,f,n,c3
224,glandu,canad,glandularia,canadensis,verbenaceae,p,f,n,c3
225,mentze,oligo,mentzelia,oligosperma,loasaceae,p,f,n,c3
226,euphor,stict,euphorbia,stictospora,euphorbiaceae,a,f,n,c4
227,vicia,ameri,vicia,americana,fabaceae,p,f,n,c3
228,mirabi,albid,mirabilis,albida,nyctaginaceae,p,f,n,c3
229,hopia,obtus,hopia,obtusa,poaceae,p,g,n,c4
230,sambuc,canad,sambucus,canadensis,adoxaceae,p,w,n,c3
231,toxico,radic,toxicodendron,radicans,anacardiaceae,p,w,n,c3
232,menisp,canad,menispermum,canadense,menispermaceae,p,w,n,c3
233,planta,virgi,plantago,virginica,plantaginaceae,a,f,i,c3
234,rhus,glabr,rhus,glabra,anacardiaceae,p,w,n,c3
235,roripp,sinua,rorippa,sinuata,brassicaceae,p,f,n,c3
236,hordeu,jubat,hordeum,jubatum,poaceae,p,g,n,c3
237,carex,brach,carex,brachyglossa,cyperaceae,p,s,n,c3
238,juncus,dudle,juncus,dudleyi,cyperaceae,p,s,n,c3
240,amorph,fruti,amorpha,fruticosa,fabaceae,p,w,n,c3
241,morus,rubra,morus,rubra,moraceae,p,w,n,c3
242,juncus,torre,juncus,torreyi,cyperaceae,p,s,n,c3
